Date,Open,High,Low,Close,Adj Close,Volume
2017-06-23,,,,,,
2017-06-26,175000.0,176000.0,172500.0,173500.0,173500.0,158817.0
2017-06-27,173000.0,174500.0,172000.0,172500.0,172500.0,130680.0
2017-06-28,172500.0,172500.0,170000.0,171500.0,171500.0,209845.0
2017-06-29,173500.0,177000.0,173000.0,176000.0,176000.0,181365.0
2017-06-30,175000.0,177500.0,174000.0,176500.0,176500.0,169157.0
2017-07-03,177000.0,178000.0,174000.0,175000.0,175000.0,165988.0
2017-07-04,175000.0,177000.0,174000.0,174000.0,174000.0,150652.0
2017-07-05,174000.0,175000.0,171500.0,172500.0,172500.0,193981.0
2017-07-06,172500.0,174000.0,171000.0,172000.0,172000.0,143980.0
2017-07-07,172000.0,175000.0,171500.0,174000.0,174000.0,295259.0
2017-07-10,173000.0,174500.0,170500.0,171500.0,171500.0,144279.0
2017-07-11,172000.0,172500.0,165500.0,166000.0,166000.0,316877.0
2017-07-12,165500.0,168500.0,163500.0,164000.0,164000.0,225538.0
2017-07-13,165500.0,167500.0,165500.0,166000.0,166000.0,152801.0
2017-07-14,165000.0,168500.0,164000.0,168500.0,168500.0,121320.0
2017-07-17,170500.0,171000.0,169000.0,170000.0,170000.0,144467.0
2017-07-18,170000.0,170500.0,167500.0,168500.0,168500.0,88390.0
2017-07-19,170000.0,170000.0,168000.0,170000.0,170000.0,91351.0
2017-07-20,171000.0,175000.0,170500.0,174500.0,174500.0,225060.0
2017-07-21,174000.0,178000.0,173000.0,177500.0,177500.0,202543.0
2017-07-24,178000.0,178500.0,173500.0,174000.0,174000.0,91632.0
2017-07-25,174000.0,178000.0,174000.0,175000.0,175000.0,118852.0
2017-07-26,177000.0,180000.0,176000.0,180000.0,180000.0,263479.0
2017-07-27,180000.0,182500.0,179000.0,181000.0,181000.0,261649.0
2017-07-28,179500.0,181000.0,177000.0,180000.0,180000.0,232247.0
2017-07-31,181000.0,182000.0,174500.0,174500.0,174500.0,252105.0
2017-08-01,175000.0,185000.0,174500.0,182500.0,182500.0,461779.0
2017-08-02,182000.0,182500.0,177000.0,177500.0,177500.0,219811.0
2017-08-03,177500.0,179500.0,176000.0,178000.0,178000.0,226432.0
2017-08-04,177000.0,179000.0,175000.0,176000.0,176000.0,122655.0
2017-08-07,176000.0,177000.0,174000.0,174500.0,174500.0,100782.0
2017-08-08,173000.0,175000.0,171000.0,172500.0,172500.0,182438.0
2017-08-09,170500.0,171500.0,169500.0,170500.0,170500.0,125334.0
2017-08-10,169500.0,173500.0,166000.0,173500.0,173500.0,281443.0
2017-08-11,168500.0,170500.0,166000.0,168500.0,168500.0,204022.0
2017-08-14,169000.0,172500.0,167500.0,168000.0,168000.0,87969.0
2017-08-16,168000.0,170000.0,159000.0,162000.0,162000.0,497509.0
2017-08-17,160500.0,165000.0,159000.0,161500.0,161500.0,276967.0
2017-08-18,155000.0,157500.0,152000.0,156000.0,156000.0,640382.0
2017-08-21,155500.0,156000.0,147000.0,148500.0,148500.0,740324.0
2017-08-22,148500.0,150500.0,145000.0,150000.0,150000.0,634742.0
2017-08-23,151500.0,154500.0,151000.0,151000.0,151000.0,257912.0
2017-08-24,150000.0,150500.0,147500.0,150000.0,150000.0,261337.0
2017-08-25,151000.0,153000.0,150000.0,152000.0,152000.0,239443.0
2017-08-28,151000.0,153500.0,151000.0,151500.0,151500.0,163302.0
2017-08-29,151000.0,152000.0,146500.0,150500.0,150500.0,297313.0
2017-08-30,151000.0,151500.0,147000.0,148500.0,148500.0,210128.0
2017-08-31,149500.0,150000.0,148000.0,148500.0,148500.0,132279.0
2017-09-01,148500.0,149000.0,142500.0,143000.0,143000.0,294889.0
2017-09-04,138000.0,142500.0,138000.0,141500.0,141500.0,180209.0
2017-09-05,142000.0,144000.0,141000.0,142500.0,142500.0,132376.0
2017-09-06,143000.0,143000.0,136000.0,137000.0,137000.0,264355.0
2017-09-07,139500.0,141500.0,138000.0,138000.0,138000.0,194036.0
2017-09-08,138000.0,140000.0,137500.0,138000.0,138000.0,159532.0
2017-09-11,138500.0,139500.0,134000.0,135000.0,135000.0,219352.0
2017-09-12,135000.0,138500.0,134500.0,136500.0,136500.0,148652.0
2017-09-13,137500.0,139500.0,136000.0,136500.0,136500.0,131033.0
2017-09-14,136000.0,137500.0,134000.0,136500.0,136500.0,221666.0
2017-09-15,137500.0,141000.0,135500.0,141000.0,141000.0,394830.0
2017-09-18,141500.0,142500.0,137500.0,138000.0,138000.0,224293.0
2017-09-19,139000.0,151000.0,139000.0,148500.0,148500.0,478535.0
2017-09-20,149500.0,150000.0,145500.0,146500.0,146500.0,130449.0
2017-09-21,147500.0,148000.0,143000.0,143500.0,143500.0,117765.0
2017-09-25,144000.0,145000.0,138000.0,139000.0,139000.0,313099.0
2017-09-26,139000.0,139000.0,139000.0,139000.0,139000.0,0.0
2017-09-27,147000.0,148500.0,141500.0,142000.0,142000.0,230050.0
2017-09-28,141000.0,142500.0,138500.0,141500.0,141500.0,117861.0
2017-09-29,143500.0,149000.0,143000.0,145000.0,145000.0,324334.0
2017-10-02,145000.0,145000.0,145000.0,145000.0,145000.0,0.0
2017-10-10,145000.0,148500.0,145000.0,146500.0,146500.0,189924.0
2017-10-11,146500.0,150000.0,145500.0,148000.0,148000.0,2076869.0
2017-10-12,150000.0,151000.0,149000.0,149500.0,149500.0,310055.0
2017-10-13,149500.0,152500.0,149000.0,152000.0,152000.0,213481.0
2017-10-16,152500.0,154000.0,150500.0,153500.0,153500.0,184426.0
2017-10-17,153500.0,153500.0,149000.0,149000.0,149000.0,209584.0
2017-10-18,148000.0,150000.0,146500.0,147000.0,147000.0,135440.0
2017-10-19,148000.0,154000.0,148000.0,152000.0,152000.0,233005.0
2017-10-20,150500.0,152000.0,149500.0,151500.0,151500.0,86948.0
2017-10-23,152000.0,153500.0,148000.0,148000.0,148000.0,141678.0
2017-10-24,148500.0,150000.0,147000.0,147000.0,147000.0,145011.0
2017-10-25,147500.0,149500.0,147000.0,148000.0,148000.0,130587.0
2017-10-26,147000.0,149500.0,147000.0,147500.0,147500.0,190077.0
2017-10-27,148000.0,152500.0,148000.0,151500.0,151500.0,215501.0
2017-10-30,153000.0,154000.0,149000.0,150000.0,150000.0,155277.0
2017-10-31,149500.0,158500.0,149000.0,156500.0,156500.0,365366.0
2017-11-01,154500.0,156500.0,153500.0,155500.0,155500.0,170297.0
2017-11-02,156000.0,159500.0,156000.0,156500.0,156500.0,215922.0
2017-11-03,157500.0,159500.0,157000.0,159500.0,159500.0,140888.0
2017-11-06,159500.0,160000.0,156500.0,157500.0,157500.0,133513.0
2017-11-07,157500.0,165000.0,157500.0,164000.0,164000.0,383572.0
2017-11-08,162500.0,164000.0,160500.0,163000.0,163000.0,143049.0
2017-11-09,164000.0,165500.0,161000.0,161500.0,161500.0,232396.0
2017-11-10,160500.0,161500.0,157000.0,157500.0,157500.0,174463.0
2017-11-13,157000.0,157500.0,148000.0,149000.0,149000.0,392636.0
2017-11-14,150000.0,152500.0,148500.0,150500.0,150500.0,222530.0
2017-11-15,149500.0,150500.0,144500.0,147500.0,147500.0,242747.0
2017-11-16,147500.0,150000.0,147000.0,148500.0,148500.0,113668.0
2017-11-17,149500.0,152000.0,148000.0,151500.0,151500.0,150346.0
2017-11-20,153000.0,153000.0,146500.0,147000.0,147000.0,188311.0
2017-11-21,148000.0,148500.0,144000.0,145000.0,145000.0,147986.0
2017-11-22,145000.0,147500.0,144000.0,147000.0,147000.0,125180.0
2017-11-23,148000.0,149000.0,147000.0,147000.0,147000.0,82691.0
2017-11-24,148000.0,148000.0,145000.0,146000.0,146000.0,65112.0
2017-11-27,146000.0,147000.0,145000.0,145000.0,145000.0,77526.0
2017-11-28,144500.0,148500.0,144000.0,147000.0,147000.0,98575.0
2017-11-29,147000.0,148000.0,146000.0,147500.0,147500.0,68428.0
2017-11-30,149500.0,149500.0,146500.0,148000.0,148000.0,170919.0
2017-12-01,147000.0,148500.0,146000.0,146500.0,146500.0,61015.0
2017-12-04,148000.0,148500.0,146000.0,147500.0,147500.0,78354.0
2017-12-05,146500.0,153000.0,146000.0,153000.0,153000.0,238071.0
2017-12-06,147000.0,148000.0,142500.0,143500.0,143500.0,379419.0
2017-12-07,143500.0,143500.0,135500.0,136500.0,136500.0,322124.0
2017-12-08,136500.0,136500.0,123500.0,126500.0,126500.0,514973.0
2017-12-11,127500.0,132000.0,125500.0,129000.0,129000.0,226522.0
2017-12-12,131000.0,131000.0,128000.0,129500.0,129500.0,100649.0
2017-12-13,129000.0,134500.0,129000.0,134000.0,134000.0,119085.0
2017-12-14,134000.0,135500.0,132500.0,132500.0,132500.0,177421.0
2017-12-15,133000.0,135500.0,133000.0,135000.0,135000.0,140346.0
2017-12-18,135000.0,135000.0,133000.0,134500.0,134500.0,68092.0
2017-12-19,134500.0,136000.0,131500.0,133000.0,133000.0,69333.0
2017-12-21,133000.0,133000.0,133000.0,133000.0,133000.0,0.0
